source_key,cefr_level,thai_script,paiboon,english_gloss,part_of_speech,register,default_theme,is_multifunctional,usage_note,source_note
father,A1,พ่อ,pɔ̂ɔ,father,noun,formal,family,false,,ai_a1_master_v3
older_sibling,A1,พี่,pîi,older sibling,noun,formal,family,true,used for older brother or older sister; also as a polite self-reference in some contexts,ai_a1_master_v3
younger_sibling,A1,น้อง,nɔ́ɔng,younger sibling,noun,formal,family,true,used for younger brother or younger sister; also for addressing a younger person,ai_a1_master_v3
family,A1,ครอบครัว,krɔ̂ɔp-kruua,family,noun,formal,family,false,,ai_a1_master_v3
person,A1,คน,kon,person,noun,formal,people,true,common noun person; also classifier for people,ai_a1_master_v3
house,A1,บ้าน,bâan,house,noun,formal,home,true,also means home,ai_a1_master_v3
room,A1,ห้อง,hɔ̂ng,room,noun,formal,home,false,,ai_a1_master_v3
school,A1,โรงเรียน,roong-riian,school,noun,formal,school,false,,ai_a1_master_v3
hospital,A1,โรงพยาบาล,roong-pá-yaa-baan,hospital,noun,formal,health,false,,ai_a1_master_v3
shop,A1,ร้าน,rán,shop,noun,formal,shopping,true,also used in names of businesses like restaurants or stores,ai_a1_master_v3
market,A1,ตลาด,dtà-làat,market,noun,formal,shopping,false,,ai_a1_master_v3
toilet,A1,ห้องน้ำ,hɔ̂ng-náam,toilet,noun,formal,essentials,true,can mean bathroom or restroom,ai_a1_master_v3
water,A1,น้ำ,náam,water,noun,formal,drinks,false,,ai_a1_master_v3
food,A1,อาหาร,aa-hǎan,food,noun,formal,food,false,,ai_a1_master_v3
rice,A1,ข้าว,kâao,rice,noun,formal,food,true,can mean cooked rice or a meal in simple contexts,ai_a1_master_v3
bread,A1,ขนมปัง,kà-nǒm-bpang,bread,noun,formal,food,false,,ai_a1_master_v3
egg,A1,ไข่,kài,egg,noun,formal,food,false,,ai_a1_master_v3
fruit,A1,ผลไม้,pǒn-lá-máai,fruit,noun,formal,food,false,,ai_a1_master_v3
coffee,A1,กาแฟ,gaa-faae,coffee,noun,formal,drinks,false,,ai_a1_master_v3
tea,A1,ชา,chaa,tea,noun,formal,drinks,false,,ai_a1_master_v3
milk,A1,นม,nom,milk,noun,formal,drinks,false,,ai_a1_master_v3
beer,A1,เบียร์,bia,beer,noun,informal,drinks,false,,ai_a1_master_v3
eat,A1,กิน,gin,eat,verb,informal,actions,true,also often used for drink in everyday speech,ai_a1_master_v3
drink,A1,ดื่ม,dʉ̀ʉm,drink,verb,formal,actions,false,,ai_a1_master_v3
go,A1,ไป,bpai,go,verb,formal,actions,true,also marks movement away or future intention in simple patterns,ai_a1_master_v3
come,A1,มา,maa,come,verb,formal,actions,true,also marks movement toward speaker or adds a directional sense,ai_a1_master_v3
return,A1,กลับ,glàp,return,verb,formal,actions,true,also means go back or turn back depending on context,ai_a1_master_v3
stay_live,A1,อยู่,yùu,stay,verb,formal,daily_life,true,can mean stay live be located or mark ongoing action depending on context,ai_a1_master_v3
sleep,A1,นอน,nɔɔn,sleep,verb,formal,daily_life,false,,ai_a1_master_v3
sit,A1,นั่ง,nâng,sit,verb,formal,actions,false,,ai_a1_master_v3
stand,A1,ยืน,yʉʉn,stand,verb,formal,actions,false,,ai_a1_master_v3
walk,A1,เดิน,dəən,walk,verb,formal,actions,true,also means go on foot or move along,ai_a1_master_v3
run,A1,วิ่ง,wîng,run,verb,formal,actions,false,,ai_a1_master_v3
see,A1,เห็น,hěn,see,verb,formal,actions,true,can also mean notice in simple speech,ai_a1_master_v3
look,A1,ดู,duu,look,verb,formal,actions,true,also means watch,ai_a1_master_v3
listen,A1,ฟัง,fang,listen,verb,formal,actions,false,,ai_a1_master_v3
speak,A1,พูด,pûut,speak,verb,formal,actions,false,,ai_a1_master_v3
tell,A1,บอก,bɔ̀ɔk,tell,verb,formal,actions,true,also means say or inform,ai_a1_master_v3
read,A1,อ่าน,àan,read,verb,formal,school,false,,ai_a1_master_v3
write,A1,เขียน,kǐian,write,verb,formal,school,false,,ai_a1_master_v3
work,A1,ทำงาน,tam-ngaan,work,verb,formal,work,false,,ai_a1_master_v3
study,A1,เรียน,riian,study,verb,formal,school,true,also means learn,ai_a1_master_v3
buy,A1,ซื้อ,sʉ́ʉ,buy,verb,formal,shopping,false,,ai_a1_master_v3
sell,A1,ขาย,kǎai,sell,verb,formal,shopping,false,,ai_a1_master_v3
pay,A1,จ่าย,jàai,pay,verb,formal,shopping,false,,ai_a1_master_v3
want,A1,อยาก,yàak,want,verb,formal,essentials,false,,ai_a1_master_v3
like,A1,ชอบ,chɔ̂ɔp,like,verb,formal,essentials,true,also commonly expresses preference,ai_a1_master_v3
have,A1,มี,mii,have,verb,formal,essentials,true,also means there is or there are,ai_a1_master_v3
be,A1,เป็น,bpen,be,verb,formal,essentials,true,used for identity classification profession or ability in some patterns,ai_a1_master_v3
can,A1,ได้,dâai,can,verb,formal,essentials,true,used for ability possibility permission and some completed actions,ai_a1_master_v3
give,A1,ให้,hâi,give,verb,formal,actions,true,means give; also marks doing something for someone or permission in simple patterns,ai_a1_master_v3
take,A1,เอา,ao,take,verb,informal,actions,true,can mean take bring or choose depending on context,ai_a1_master_v3
open,A1,เปิด,bpə̀ət,open,verb,formal,actions,true,also used for turning on devices,ai_a1_master_v3
close,A1,ปิด,bpìt,close,verb,formal,actions,true,also used for turning off devices,ai_a1_master_v3
hot,A1,ร้อน,rɔ́ɔn,hot,adjective,formal,weather,true,used for weather objects or feeling hot,ai_a1_master_v3
cool,A1,เย็น,yen,cool,adjective,formal,weather,true,means cool or cold; also used for evening or early evening time,ai_a1_master_v3
big,A1,ใหญ่,yài,big,adjective,formal,descriptions,false,,ai_a1_master_v3
small,A1,เล็ก,lék,small,adjective,formal,descriptions,false,,ai_a1_master_v3
good,A1,ดี,dii,good,adjective,formal,descriptions,false,,ai_a1_master_v3
bad,A1,ไม่ดี,mâi-dii,bad,adjective,formal,descriptions,false,,ai_a1_master_v3
beautiful,A1,สวย,sǔai,beautiful,adjective,formal,descriptions,false,,ai_a1_master_v3
new,A1,ใหม่,mài,new,adjective,formal,descriptions,false,,ai_a1_master_v3
old,A1,เก่า,gào,old,adjective,formal,descriptions,false,,ai_a1_master_v3
fast,A1,เร็ว,reo,fast,adjective,formal,descriptions,true,also used adverbially for quickly,ai_a1_master_v3
slow,A1,ช้า,cháa,slow,adjective,formal,descriptions,true,also used adverbially for slowly,ai_a1_master_v3
one,A1,หนึ่ง,nʉ̀ng,one,numeral,formal,numbers,false,,ai_a1_master_v3
two,A1,สอง,sɔ̌ɔng,two,numeral,formal,numbers,false,,ai_a1_master_v3
three,A1,สาม,sǎam,three,numeral,formal,numbers,false,,ai_a1_master_v3
four,A1,สี่,sìi,four,numeral,formal,numbers,false,,ai_a1_master_v3
five,A1,ห้า,hâa,five,numeral,formal,numbers,false,,ai_a1_master_v3
day,A1,วัน,wan,day,noun,formal,time,true,also used in dates and named days,ai_a1_master_v3
today,A1,วันนี้,wan-níi,today,noun,formal,time,false,,ai_a1_master_v3
tomorrow,A1,พรุ่งนี้,prûng-níi,tomorrow,noun,formal,time,false,,ai_a1_master_v3
yesterday,A1,เมื่อวาน,mʉ̂a-waan,yesterday,noun,formal,time,false,,ai_a1_master_v3
now,A1,ตอนนี้,dtɔɔn-níi,now,adverb,formal,time,false,,ai_a1_master_v3
morning,A1,เช้า,cháao,morning,noun,formal,time,false,,ai_a1_master_v3
six,A1,หก,hòk,six,numeral,formal,numbers,false,,ai_a1_master_v3
seven,A1,เจ็ด,jèt,seven,numeral,formal,numbers,false,,ai_a1_master_v3
eight,A1,แปด,bpɛ̀ɛt,eight,numeral,formal,numbers,false,,ai_a1_master_v3
nine,A1,เก้า,gâao,nine,numeral,formal,numbers,false,,ai_a1_master_v3
ten,A1,สิบ,sìp,ten,numeral,formal,numbers,false,,ai_a1_master_v3
monday,A1,วันจันทร์,wan-jan,Monday,noun,formal,days,false,,ai_a1_master_v3
tuesday,A1,วันอังคาร,wan-ang-kaan,Tuesday,noun,formal,days,false,,ai_a1_master_v3
wednesday,A1,วันพุธ,wan-pút,Wednesday,noun,formal,days,false,,ai_a1_master_v3
thursday,A1,วันพฤหัสบดี,wan-pá-rʉ́e-hàt-sà-bɔɔ-dii,Thursday,noun,formal,days,false,,ai_a1_master_v3
friday,A1,วันศุกร์,wan-sùk,Friday,noun,formal,days,false,,ai_a1_master_v3
saturday,A1,วันเสาร์,wan-sǎo,Saturday,noun,formal,days,false,,ai_a1_master_v3
sunday,A1,วันอาทิตย์,wan-aa-tít,Sunday,noun,formal,days,false,,ai_a1_master_v3
red,A1,แดง,dɛɛng,red,adjective,formal,colors,false,,ai_a1_master_v3
yellow,A1,เหลือง,lʉ̌ang,yellow,adjective,formal,colors,false,,ai_a1_master_v3
green,A1,เขียว,kǐiao,green,adjective,formal,colors,false,,ai_a1_master_v3
blue,A1,น้ำเงิน,náam-ngən,blue,adjective,formal,colors,false,,ai_a1_master_v3
black,A1,ดำ,dam,black,adjective,formal,colors,false,,ai_a1_master_v3
white,A1,ขาว,kǎao,white,adjective,formal,colors,false,,ai_a1_master_v3
brown,A1,น้ำตาล,náam-dtaan,brown,adjective,formal,colors,true,also commonly means sugar,ai_a1_master_v3
gray,A1,เทา,tao,gray,adjective,formal,colors,false,,ai_a1_master_v3
orange,A1,ส้ม,sôm,orange,adjective,formal,colors,true,also commonly means orange fruit,ai_a1_master_v3
pink,A1,ชมพู,chom-puu,pink,adjective,formal,colors,false,,ai_a1_master_v3
purple,A1,ม่วง,mûuang,purple,adjective,formal,colors,false,,ai_a1_master_v3
head,A1,หัว,hǔua,head,noun,formal,body,false,,ai_a1_master_v3
eye,A1,ตา,dtaa,eye,noun,formal,body,true,also commonly means eyes in plural-free usage,ai_a1_master_v3
ear,A1,หู,hǔu,ear,noun,formal,body,true,also commonly means ears in plural-free usage,ai_a1_master_v3
nose,A1,จมูก,jà-mùuk,nose,noun,formal,body,false,,ai_a1_master_v3
mouth,A1,ปาก,bpàak,mouth,noun,formal,body,false,,ai_a1_master_v3
tooth,A1,ฟัน,fan,tooth,noun,formal,body,true,also commonly means teeth in plural-free usage,ai_a1_master_v3
face,A1,หน้า,nâa,face,noun,formal,body,true,also commonly means front depending on context,ai_a1_master_v3
hand,A1,มือ,mʉʉ,hand,noun,formal,body,true,also commonly means hands in plural-free usage,ai_a1_master_v3
arm,A1,แขน,kǎaen,arm,noun,formal,body,true,also commonly means arms in plural-free usage,ai_a1_master_v3
leg,A1,ขา,kǎa,leg,noun,formal,body,true,also commonly means legs; also used for animal legs,ai_a1_master_v3
foot,A1,เท้า,táao,foot,noun,formal,body,true,also commonly means feet in plural-free usage,ai_a1_master_v3
shirt,A1,เสื้อ,sʉ̂a,shirt,noun,formal,clothing,true,also used broadly for top or upper-body clothing,ai_a1_master_v3
pants,A1,กางเกง,gaang-geeng,pants,noun,formal,clothing,false,,ai_a1_master_v3
shoes,A1,รองเท้า,rɔɔng-táao,shoes,noun,formal,clothing,false,,ai_a1_master_v3
hat,A1,หมวก,mùuak,hat,noun,formal,clothing,false,,ai_a1_master_v3
bag,A1,กระเป๋า,grà-bpǎo,bag,noun,formal,essentials,true,can mean bag purse or pocket depending on context,ai_a1_master_v3
wear,A1,ใส่,sài,wear,verb,formal,clothing,true,also means put in or put on depending on context,ai_a1_master_v3
vehicle,A1,รถ,rót,vehicle,noun,formal,transport,true,broad word for car bus and other vehicles depending on context,ai_a1_master_v3
bus,A1,รถเมล์,rót-mee,bus,noun,informal,transport,false,,ai_a1_master_v3
train,A1,รถไฟ,rót-fai,train,noun,formal,transport,false,,ai_a1_master_v3
airplane,A1,เครื่องบิน,krʉ̂ang-bin,airplane,noun,formal,transport,false,,ai_a1_master_v3
boat,A1,เรือ,rʉa,boat,noun,formal,transport,false,,ai_a1_master_v3
bicycle,A1,จักรยาน,jàk-grà-yaan,bicycle,noun,formal,transport,false,,ai_a1_master_v3
road,A1,ถนน,tà-nǒn,road,noun,formal,directions,false,,ai_a1_master_v3
left,A1,ซ้าย,sáai,left,noun,formal,directions,false,,ai_a1_master_v3
right,A1,ขวา,kwǎa,right,noun,formal,directions,false,,ai_a1_master_v3
straight,A1,ตรง,dtrong,straight,adjective,formal,directions,true,can mean straight direct or exactly depending on context,ai_a1_master_v3
near,A1,ใกล้,glâi,near,adjective,formal,directions,false,,ai_a1_master_v3
far,A1,ไกล,glai,far,adjective,formal,directions,false,,ai_a1_master_v3
in,A1,ใน,nai,in,preposition,formal,directions,false,,ai_a1_master_v3
outside,A1,ข้างนอก,kâang-nɔ̂ɔk,outside,adverb,formal,places,false,,ai_a1_master_v3
on,A1,บน,bon,on,preposition,formal,directions,false,,ai_a1_master_v3
under,A1,ใต้,dtâai,under,preposition,formal,directions,false,,ai_a1_master_v3
with,A1,กับ,gàp,with,preposition,formal,essentials,true,also used as and in some noun-linking patterns,ai_a1_master_v3
or,A1,หรือ,rʉ̌ʉ,or,conjunction,formal,essentials,false,,ai_a1_master_v3
but,A1,แต่,dtàae,but,conjunction,formal,essentials,false,,ai_a1_master_v3
because,A1,เพราะ,prɔ́,because,conjunction,formal,essentials,false,,ai_a1_master_v3
book,A1,หนังสือ,nǎng-sʉ̌ʉ,book,noun,formal,school,false,,ai_a1_master_v3
pen,A1,ปากกา,bpàak-gaa,pen,noun,formal,school,false,,ai_a1_master_v3
table,A1,โต๊ะ,dtó,table,noun,formal,school,false,,ai_a1_master_v3
chair,A1,เก้าอี้,gâo-îi,chair,noun,formal,school,false,,ai_a1_master_v3
door,A1,ประตู,bprà-dtuu,door,noun,formal,home,false,,ai_a1_master_v3
window,A1,หน้าต่าง,nâa-dtàang,window,noun,formal,home,false,,ai_a1_master_v3
bed,A1,เตียง,dtiiang,bed,noun,formal,home,false,,ai_a1_master_v3
phone,A1,โทรศัพท์,too-rá-sàp,phone,noun,formal,essentials,false,,ai_a1_master_v3
money,A1,เงิน,ngən,money,noun,formal,shopping,false,,ai_a1_master_v3
ticket,A1,ตั๋ว,dtǔua,ticket,noun,formal,travel,false,,ai_a1_master_v3
hotel,A1,โรงแรม,roong-raaem,hotel,noun,formal,travel,false,,ai_a1_master_v3
restaurant,A1,ร้านอาหาร,rán-aa-hǎan,restaurant,noun,formal,food,false,,ai_a1_master_v3
station,A1,สถานี,sà-tǎa-nii,station,noun,formal,transport,false,,ai_a1_master_v3
city,A1,เมือง,mʉang,city,noun,formal,places,false,,ai_a1_master_v3
country,A1,ประเทศ,bprà-têet,country,noun,formal,places,false,,ai_a1_master_v3
thailand,A1,ประเทศไทย,bprà-têet-tai,Thailand,noun,formal,places,false,,ai_a1_master_v3
thai_language,A1,ภาษาไทย,paa-sǎa-tai,Thai,noun,formal,school,false,,ai_a1_master_v3
english_language,A1,ภาษาอังกฤษ,paa-sǎa-ang-grìt,English,noun,formal,school,false,,ai_a1_master_v3
understand,A1,เข้าใจ,kâo-jai,understand,verb,formal,school,false,,ai_a1_master_v3
know,A1,รู้,rúu,know,verb,formal,school,false,,ai_a1_master_v3
question_particle,A1,ไหม,mǎi,question particle,particle,formal,questions,false,,ai_a1_master_v3
very,A1,มาก,mâak,very,adverb,formal,descriptions,false,,ai_a1_master_v3
again,A1,อีก,ìik,again,adverb,formal,daily_life,true,can mean again another or more depending on context,ai_a1_master_v3
already,A1,แล้ว,lɛ́ɛo,already,adverb,formal,time,true,also marks completed or changed state in simple patterns,ai_a1_master_v3
still,A1,ยัง,yang,still,adverb,formal,time,true,also used in not yet patterns with ไม่,ai_a1_master_v3
night,A1,กลางคืน,glaang-kʉʉn,night,noun,formal,time,false,,ai_a1_master_v3
daytime,A1,กลางวัน,glaang-wan,daytime,noun,formal,time,false,,ai_a1_master_v3
minute,A1,นาที,naa-tii,minute,noun,formal,time,false,,ai_a1_master_v3
hour,A1,ชั่วโมง,chûua-moong,hour,noun,formal,time,false,,ai_a1_master_v3
week,A1,สัปดาห์,sàp-daa,week,noun,formal,time,false,,ai_a1_master_v3
month,A1,เดือน,dʉan,month,noun,formal,time,false,,ai_a1_master_v3
year,A1,ปี,bpii,year,noun,formal,time,false,,ai_a1_master_v3
before,A1,ก่อน,gɔ̀ɔn,before,preposition,formal,time,false,,ai_a1_master_v3
after,A1,หลัง,lǎng,after,preposition,formal,time,false,,ai_a1_master_v3
wait,A1,รอ,rɔɔ,wait,verb,formal,essentials,false,,ai_a1_master_v3
help,A1,ช่วย,chûuai,help,verb,formal,essentials,true,also often softens requests in polite speech,ai_a1_master_v3
call,A1,โทร,too,call,verb,formal,essentials,false,,ai_a1_master_v3
enter,A1,เข้า,kâo,enter,verb,formal,actions,true,also means go in come in or approach depending on context,ai_a1_master_v3
exit,A1,ออก,ɔ̀ɔk,exit,verb,formal,actions,true,also means go out leave or come out depending on context,ai_a1_master_v3
a_little,A1,นิดหน่อย,nít-nɔ̀i,a little,adverb,informal,essentials,false,,ai_a1_master_v3
i_male,A1,ผม,pǒm,I,pronoun,formal,people,true,male polite first-person pronoun; also means hair,ai_a1_master_v3
love,A1,รัก,rák,love,verb,formal,family,false,,ai_a1_master_v3
older_brother,A1,พี่ชาย,pîi-chaai,older brother,noun,formal,family,false,,ai_a1_master_v3
older_sister,A1,พี่สาว,pîi-sǎao,older sister,noun,formal,family,false,,ai_a1_master_v3
younger_brother,A1,น้องชาย,nɔ́ɔng-chaai,younger brother,noun,formal,family,false,,ai_a1_master_v3
younger_sister,A1,น้องสาว,nɔ́ɔng-sǎao,younger sister,noun,formal,family,false,,ai_a1_master_v3
husband,A1,สามี,sǎa-mii,husband,noun,formal,family,false,,ai_a1_master_v3
wife,A1,ภรรยา,pan-rá-yaa,wife,noun,formal,family,false,,ai_a1_master_v3
son,A1,ลูกชาย,lûuk-chaai,son,noun,formal,family,false,,ai_a1_master_v3
daughter,A1,ลูกสาว,lûuk-sǎao,daughter,noun,formal,family,false,,ai_a1_master_v3
child_offspring,A1,ลูก,lûuk,child,noun,formal,family,true,can mean child son daughter or offspring depending on context,ai_a1_master_v3
parents,A1,พ่อแม่,pɔ̂ɔ-mâae,parents,noun,formal,family,false,,ai_a1_master_v3
tall,A1,สูง,sǔung,tall,adjective,formal,descriptions,false,,ai_a1_master_v3
short_height,A1,เตี้ย,dtîia,short,adjective,formal,descriptions,false,used for height,ai_a1_master_v3
long,A1,ยาว,yaao,long,adjective,formal,descriptions,false,,ai_a1_master_v3
short_length,A1,สั้น,sân,short,adjective,formal,descriptions,false,used for length,ai_a1_master_v3
heavy,A1,หนัก,nàk,heavy,adjective,formal,descriptions,false,,ai_a1_master_v3
light_weight,A1,เบา,bao,light,adjective,formal,descriptions,false,used for weight,ai_a1_master_v3
expensive,A1,แพง,paaeng,expensive,adjective,formal,shopping,false,,ai_a1_master_v3
cheap,A1,ถูก,tùuk,cheap,adjective,formal,shopping,true,also commonly means correct or right,ai_a1_master_v3
clean,A1,สะอาด,sà-àat,clean,adjective,formal,home,false,,ai_a1_master_v3
dirty,A1,สกปรก,sòk-gà-bpròk,dirty,adjective,formal,home,false,,ai_a1_master_v3
easy,A1,ง่าย,ngâai,easy,adjective,formal,descriptions,false,,ai_a1_master_v3
difficult,A1,ยาก,yâak,difficult,adjective,formal,descriptions,false,,ai_a1_master_v3
hungry,A1,หิว,hǐu,hungry,adjective,formal,health,false,,ai_a1_master_v3
thirsty,A1,หิวน้ำ,hǐu-náam,thirsty,adjective,formal,health,false,,ai_a1_master_v3
tired,A1,เหนื่อย,nʉ̀ai,tired,adjective,formal,health,false,,ai_a1_master_v3
sick,A1,ป่วย,bpùai,sick,adjective,formal,health,false,,ai_a1_master_v3
hurt,A1,เจ็บ,jèp,hurt,verb,formal,health,true,can describe pain injury or being painful,ai_a1_master_v3
headache,A1,ปวดหัว,bpùuat-hǔua,headache,noun,formal,health,false,,ai_a1_master_v3
fever,A1,ไข้,kâi,fever,noun,formal,health,false,,ai_a1_master_v3
medicine,A1,ยา,yaa,medicine,noun,formal,health,true,can mean medicine or drug depending on context,ai_a1_master_v3
pharmacy,A1,ร้านยา,rán-yaa,pharmacy,noun,formal,health,false,,ai_a1_master_v3
chicken,A1,ไก่,gài,chicken,noun,formal,food,false,,ai_a1_master_v3
pork,A1,หมู,mǔu,pork,noun,formal,food,false,,ai_a1_master_v3
fish,A1,ปลา,bplaa,fish,noun,formal,food,false,,ai_a1_master_v3
meat,A1,เนื้อ,nʉ́a,meat,noun,formal,food,true,can mean meat flesh or beef depending on context,ai_a1_master_v3
vegetable,A1,ผัก,pàk,vegetable,noun,formal,food,false,,ai_a1_master_v3
curry,A1,แกง,gaaeng,curry,noun,formal,food,true,broad food word for curry or curry-like dish,ai_a1_master_v3
noodles,A1,ก๋วยเตี๋ยว,gǔuai-dtǐiao,noodles,noun,formal,food,false,,ai_a1_master_v3
breakfast,A1,อาหารเช้า,aa-hǎan-cháao,breakfast,noun,formal,food,false,,ai_a1_master_v3
lunch,A1,อาหารกลางวัน,aa-hǎan-glaang-wan,lunch,noun,formal,food,false,,ai_a1_master_v3
dinner,A1,อาหารเย็น,aa-hǎan-yen,dinner,noun,formal,food,false,,ai_a1_master_v3
delicious,A1,อร่อย,à-rɔ̀i,delicious,adjective,formal,food,false,,ai_a1_master_v3
sweet,A1,หวาน,wǎan,sweet,adjective,formal,food,false,,ai_a1_master_v3
salty,A1,เค็ม,kem,salty,adjective,formal,food,false,,ai_a1_master_v3
spicy,A1,เผ็ด,pèt,spicy,adjective,formal,food,false,,ai_a1_master_v3
sour,A1,เปรี้ยว,bprîiao,sour,adjective,formal,food,false,,ai_a1_master_v3
juice,A1,น้ำผลไม้,náam-pǒn-lá-máai,juice,noun,formal,drinks,false,,ai_a1_master_v3
bottle,A1,ขวด,kùuat,bottle,classifier,formal,drinks,true,used as a container noun and also as a classifier for bottles,ai_a1_master_v3
glass,A1,แก้ว,gâaeo,glass,noun,formal,drinks,true,can mean drinking glass cup or classifier depending on context,ai_a1_master_v3
plate,A1,จาน,jaan,plate,noun,formal,food,false,,ai_a1_master_v3
spoon,A1,ช้อน,cháawn,spoon,noun,formal,food,false,,ai_a1_master_v3
fork,A1,ส้อม,sâawm,fork,noun,formal,food,false,,ai_a1_master_v3
knife,A1,มีด,mîit,knife,noun,formal,food,false,,ai_a1_master_v3
kitchen,A1,ครัว,kruua,kitchen,noun,formal,home,false,,ai_a1_master_v3
refrigerator,A1,ตู้เย็น,dtûu-yen,refrigerator,noun,formal,home,false,,ai_a1_master_v3
television,A1,โทรทัศน์,too-rá-tát,television,noun,formal,home,false,,ai_a1_master_v3
computer,A1,คอมพิวเตอร์,kɔm-píu-dtə̂ə,computer,noun,formal,work,false,,ai_a1_master_v3
fan,A1,พัดลม,pát-lom,fan,noun,formal,home,false,,ai_a1_master_v3
air_conditioner,A1,แอร์,aae,air conditioner,noun,informal,home,false,,ai_a1_master_v3
light,A1,ไฟ,fai,light,noun,formal,home,true,can mean light fire or electric light depending on context,ai_a1_master_v3
electricity,A1,ไฟฟ้า,fai-fáa,electricity,noun,formal,home,false,,ai_a1_master_v3
key,A1,กุญแจ,gun-jaae,key,noun,formal,home,false,,ai_a1_master_v3
clock,A1,นาฬิกา,naa-lí-gaa,clock,noun,formal,time,true,can mean clock or watch depending on context,ai_a1_master_v3
afternoon,A1,บ่าย,bàai,afternoon,noun,formal,time,false,,ai_a1_master_v3
late,A1,สาย,sǎai,late,adjective,formal,time,false,,ai_a1_master_v3
always,A1,เสมอ,sà-mə̌ə,always,adverb,formal,daily_life,false,,ai_a1_master_v3
often,A1,บ่อย,bɔ̀i,often,adverb,formal,daily_life,false,,ai_a1_master_v3
sometimes,A1,บางครั้ง,baang-kráng,sometimes,adverb,formal,daily_life,false,,ai_a1_master_v3
start,A1,เริ่ม,rə̂əm,start,verb,formal,actions,false,,ai_a1_master_v3
finish,A1,เสร็จ,sèt,finish,verb,formal,actions,true,can mean finish be finished or be done depending on context,ai_a1_master_v3
arrive,A1,ถึง,tʉ̌ng,arrive,verb,formal,travel,true,can mean arrive reach or to depending on context,ai_a1_master_v3
send,A1,ส่ง,sòng,send,verb,formal,actions,true,can mean send deliver or take someone somewhere depending on context,ai_a1_master_v3
meet,A1,เจอ,jəə,meet,verb,informal,people,true,can mean meet find or come across depending on context,ai_a1_master_v3
ask,A1,ถาม,tǎam,ask,verb,formal,questions,false,,ai_a1_master_v3
answer_verb,A1,ตอบ,dtɔ̀ɔp,answer,verb,formal,questions,false,,ai_a1_master_v3
teach,A1,สอน,sɔ̌ɔn,teach,verb,formal,school,false,,ai_a1_master_v3
practice,A1,ฝึก,fʉ̀k,practice,verb,formal,school,false,,ai_a1_master_v3
remember,A1,จำ,jam,remember,verb,formal,school,false,,ai_a1_master_v3
forget,A1,ลืม,lʉʉm,forget,verb,formal,school,false,,ai_a1_master_v3
